"term","Value","p-value"
"cg08258224_bc_vitD_5",-3.78368655175792,0.000354033973667262
"cg16619049_bc_vitD_4",-0.0609942693584836,0.00787713627741556
"cg13938959_bc_vitD_1",0.0936530845389207,0.0108091822711192
"cg13938959_bc_vitD_5",-2.45091988857381,0.0216813974685995
"cg16619049_bc_vitD_2",-0.00501330951161176,0.0249141573926155
"cg13938959_bc_vitD_3",0.00148505443403975,0.0298683624091177
"cg08258224_bc_vitD_2",-0.00237468124421118,0.0445943091697749
"cg16619049_bc_vitD_3",-0.00257309213260804,0.0460913973377911
"cg21870274_bc_vitD_3",0.00220660551591148,0.0691457330750271
"cg18147296_bc_vitD_2",-0.00173612172855968,0.105945860611549
"cg08258224_bc_vitD_4",-0.0190479020917584,0.117485738501177
"cg13938959_bc_vitD_4",0.0176847291814513,0.147488815659689
"cg18147296_bc_vitD_4",-0.0110072071271769,0.319275689848058
"cg18147296_bc_vitD_1",-0.0321561362832919,0.33498804590714
"cg21870274_bc_vitD_4",0.0199504201091865,0.357380928959286
"cg21870274_bc_vitD_5",-1.63208093360358,0.390132816404085
"cg16619049_bc_vitD_5",1.71197855342742,0.396431184721381
"cg16619049_bc_vitD_1",0.0588146980287497,0.397684249918254
"cg21870274_bc_vitD_1",0.0499605136524098,0.445083025044258
"cg18147296_bc_vitD_5",0.697778340445989,0.471240432201976
"cg08258224_bc_vitD_3",0.000361375777229209,0.596999166344891
"cg08258224_bc_vitD_1",0.0151063218653013,0.681206735171967
"cg18147296_bc_vitD_3",-0.000237407953663164,0.701917019738025
"cg13938959_bc_vitD_2",0.000158872293087202,0.893709718719318
"cg21870274_bc_vitD_2",-0.000156350810531513,0.940915439563482
